['Bordeaux', 'Gelb', 'Dunkelgruen', 'Magenta', 'Dunkelviolet', 'Violet', 'Hellgruen', 'Gruen', 'Blau', 'Hellblau', 'Orange', 'Rot'] - solved - 10335
['Bordeaux', 'Violet', 'Blau', 'Rot', 'Dunkelviolet', 'Orange', 'Gelb', 'Gruen', 'Hellgruen', 'Hellblau', 'Dunkelgruen', 'Magenta'] - solved - 7325
['Dunkelviolet', 'Violet', 'Magenta', 'Dunkelgruen', 'Gruen', 'Orange', 'Blau', 'Hellgruen', 'Rot', 'Hellblau', 'Gelb', 'Bordeaux'] - solved - 19079
['Rot', 'Bordeaux', 'Dunkelviolet', 'Hellblau', 'Magenta', 'Dunkelgruen', 'Hellgruen', 'Gruen', 'Orange', 'Gelb', 'Blau', 'Violet'] - solved - 365
['Violet', 'Bordeaux', 'Hellblau', 'Orange', 'Hellgruen', 'Magenta', 'Gelb', 'Gruen', 'Rot', 'Dunkelgruen', 'Blau', 'Dunkelviolet'] - solved - 16078
['Hellgruen', 'Orange', 'Dunkelgruen', 'Blau', 'Violet', 'Hellblau', 'Gelb', 'Magenta', 'Bordeaux', 'Dunkelviolet', 'Rot', 'Gruen'] - solved - 15583
['Gelb', 'Magenta', 'Blau', 'Dunkelgruen', 'Rot', 'Hellgruen', 'Orange', 'Violet', 'Hellblau', 'Dunkelviolet', 'Gruen', 'Bordeaux'] - solved - 2023
['Gelb', 'Bordeaux', 'Magenta', 'Dunkelviolet', 'Violet', 'Blau', 'Dunkelgruen', 'Gruen', 'Hellblau', 'Orange', 'Rot', 'Hellgruen'] - solved - 6866
['Magenta', 'Gelb', 'Blau', 'Hellgruen', 'Dunkelgruen', 'Violet', 'Orange', 'Hellblau', 'Bordeaux', 'Gruen', 'Rot', 'Dunkelviolet'] - solved - 1764
['Orange', 'Blau', 'Gruen', 'Violet', 'Bordeaux', 'Gelb', 'Dunkelgruen', 'Hellblau', 'Rot', 'Dunkelviolet', 'Hellgruen', 'Magenta'] - solved - 14018
['Bordeaux', 'Orange', 'Blau', 'Hellblau', 'Magenta', 'Violet', 'Gelb', 'Dunkelviolet', 'Gruen', 'Hellgruen', 'Dunkelgruen', 'Rot'] - solved - 10840
['Gelb', 'Violet', 'Orange', 'Hellgruen', 'Rot', 'Dunkelgruen', 'Magenta', 'Dunkelviolet', 'Blau', 'Gruen', 'Hellblau', 'Bordeaux'] - solved - 17521
['Violet', 'Gelb', 'Blau', 'Magenta', 'Hellgruen', 'Hellblau', 'Orange', 'Gruen', 'Dunkelgruen', 'Dunkelviolet', 'Bordeaux', 'Rot'] - solved - 8135
['Dunkelgruen', 'Rot', 'Violet', 'Gelb', 'Bordeaux', 'Blau', 'Orange', 'Hellblau', 'Magenta', 'Dunkelviolet', 'Hellgruen', 'Gruen'] - solved - 6383
['Gruen', 'Magenta', 'Dunkelviolet', 'Gelb', 'Bordeaux', 'Orange', 'Dunkelgruen', 'Violet', 'Hellblau', 'Blau', 'Rot', 'Hellgruen'] - solved - 19787
['Orange', 'Blau', 'Violet', 'Gelb', 'Gruen', 'Hellgruen', 'Hellblau', 'Bordeaux', 'Dunkelgruen', 'Dunkelviolet', 'Rot', 'Magenta'] - solved - 16193
['Hellblau', 'Rot', 'Dunkelgruen', 'Magenta', 'Blau', 'Orange', 'Gelb', 'Bordeaux', 'Hellgruen', 'Violet', 'Gruen', 'Dunkelviolet'] - solved - 814
['Rot', 'Dunkelgruen', 'Hellgruen', 'Gelb', 'Orange', 'Violet', 'Gruen', 'Blau', 'Magenta', 'Hellblau', 'Bordeaux', 'Dunkelviolet'] - solved - 9117
